date,vsf,eb,edo,eco2,tg,p
34,0.04725,95.977,8.5848,1.8131,50.7511,0.31571
35,0.0473,96.1939,8.6451,1.8339,51.1099,0.32373
36,0.0474,96.0042,8.7051,1.7997,51.4663,0.33168
37,0.04755,95.8952,8.7644,1.8493,51.8191,0.33953
38,0.0477,96.2462,8.8237,1.9333,52.1717,0.34722
39,0.0478,95.9585,8.883,1.7557,52.5248,0.35482
40,0.0479,95.8571,8.9418,1.815,52.8748,0.36233
41,0.04805,95.8574,9.0001,1.8278,53.222,0.36967
42,0.0482,95.9186,9.0586,1.779,53.5701,0.37685
43,0.04835,95.8443,9.117,1.8756,53.9181,0.38394
44,0.04845,95.844,9.1751,1.9328,54.264,0.3909
45,0.0486,95.7791,9.2331,2.0261,54.6099,0.39773
46,0.0487,95.6228,9.2912,1.9856,54.9562,0.40451
47,0.04885,95.7778,9.3488,1.9791,55.2996,0.41123
48,0.0489,95.4999,9.406,1.8549,55.6407,0.41781
49,0.049,95.7156,9.4633,1.9734,55.9822,0.42427
50,0.04905,95.746,9.5203,2.007,56.3227,0.4307
51,0.04905,95.7806,9.5768,1.9336,56.6598,0.43707
52,0.04915,95.8616,9.633,1.9941,56.9954,0.44338
53,0.04935,95.485,9.6891,1.8679,57.3301,0.4497
54,0.0496,95.4685,9.7446,2.0203,57.6619,0.45598
55,0.0498,96.0031,9.8,1.868,57.9926,0.46208
56,0.05,96.0913,9.8557,1.8891,58.3259,0.468
57,0.05015,95.7624,9.9117,1.9535,58.6601,0.47382
58,0.0503,95.4912,9.9673,1.9941,58.993,0.47954
59,0.0504,95.6619,10.0231,2.1338,59.3266,0.48515
60,0.05045,95.5734,10.079,2.0661,59.6607,0.49075
61,0.05045,95.1772,10.1343,2.0151,59.9914,0.49637
62,0.0505,95.533,10.1889,2.0874,60.3184,0.50193
63,0.05055,95.4781,10.2434,2.0468,60.6447,0.50746
64,0.0506,95.5659,10.2976,2.0107,60.969,0.51301
65,0.0506,95.4948,10.3511,2.0326,61.2897,0.51855
66,0.0507,94.8542,10.4044,2.0535,61.6089,0.52407
67,0.0507,95.2449,10.4575,2.1048,61.9273,0.52963
68,0.05075,95.1824,10.5099,2.0958,62.2415,0.53524
69,0.0508,95.2846,10.5617,2.1167,62.5521,0.54079
70,0.05095,95.0774,10.6134,2.1335,62.8622,0.5463
71,0.05115,95.3357,10.6649,1.9734,63.1712,0.55179
72,0.0513,95.2057,10.7162,2.1689,63.4786,0.5572
73,0.0514,95.4379,10.7675,2.1111,63.7869,0.56248
74,0.0515,95.1958,10.819,2.1457,64.096,0.56776
75,0.05155,95.409,10.87,2.2006,64.4023,0.57305
76,0.05165,95.0544,10.9205,2.169,64.7059,0.57826
77,0.05175,94.9421,10.9711,2.1432,65.0096,0.58341
78,0.0519,95.0883,11.0214,2.2669,65.3123,0.58857
79,0.0521,95.3532,11.0714,2.2126,65.6127,0.59367
80,0.0524,95.4188,11.1215,2.1399,65.9142,0.59864
81,0.0527,95.0906,11.172,2.2028,66.218,0.60355
82,0.05295,95.4489,11.2226,2.1723,66.522,0.60835
83,0.0532,95.1367,11.2732,2.3581,66.8268,0.61294
84,0.0534,95.1492,11.3244,2.1499,67.1349,0.61736
85,0.05355,95.0606,11.3758,2.3039,67.4444,0.62171
86,0.0536,95.0024,11.427,2.1717,67.7528,0.62598
87,0.0537,95.1231,11.4782,2.1777,68.0616,0.6302
88,0.0538,95.1633,11.5294,2.1955,68.3704,0.63449
89,0.05395,95.0258,11.5801,2.1736,68.6761,0.63885
90,0.05405,94.5851,11.6305,2.2625,68.9797,0.64314
91,0.0542,95.4012,11.6809,2.2223,69.2841,0.64737
92,0.0543,94.8546,11.7313,2.2749,69.5879,0.65162
93,0.0544,95.3442,11.7813,2.312,69.8895,0.65585
94,0.05455,95.1695,11.8312,2.1577,70.1913,0.66004
95,0.05475,94.5196,11.8812,2.179,70.4934,0.66427
96,0.0549,94.9727,11.9309,2.3621,70.7936,0.6685
97,0.05505,95.0011,11.9805,2.2593,71.0931,0.67264
98,0.0551,95.0736,12.0303,2.2421,71.3939,0.67671
99,0.05515,95.0331,12.0798,2.2824,71.6938,0.68083
100,0.05515,95.0256,12.1289,2.3233,71.9904,0.68497
101,0.0551,94.9609,12.1777,2.2476,72.2861,0.68914
102,0.05505,94.9773,12.2262,2.3307,72.5794,0.69347
103,0.05505,95.1986,12.2738,2.3606,72.8674,0.69795
104,0.05515,94.9895,12.3207,2.3392,73.1518,0.70248
105,0.0553,94.8558,12.3675,2.3446,73.4352,0.70706
106,0.0555,94.8789,12.414,2.2672,73.7171,0.71167
107,0.05575,94.9725,12.4603,2.3186,73.9977,0.71621
108,0.05605,94.8311,12.5069,2.2989,74.2803,0.7206
109,0.05625,94.68,12.5539,2.3812,74.5651,0.72489
110,0.05645,94.6232,12.6008,2.3618,74.85,0.72907
111,0.0566,94.831,12.6479,2.3597,75.1359,0.73309
112,0.05685,94.9273,12.6953,2.3579,75.4235,0.73704
113,0.05705,94.9669,12.7427,2.3837,75.7112,0.74095
114,0.0572,94.8765,12.7901,2.3537,75.9992,0.74475
115,0.05735,94.571,12.8377,2.3937,76.2888,0.74848
116,0.0575,94.8231,12.8854,2.3349,76.5784,0.75223
117,0.05765,94.4949,12.9327,2.4407,76.8665,0.75596
118,0.0579,94.6241,12.9801,2.3784,77.1546,0.75963
119,0.0582,94.3887,13.0277,2.3646,77.4439,0.76324
120,0.0585,94.8301,13.0754,2.5054,77.7343,0.76675
121,0.0589,94.653,13.1234,2.3981,78.0266,0.7701
122,0.0593,94.7027,13.172,2.4912,78.3228,0.77326
123,0.0596,94.4921,13.2212,2.4689,78.6227,0.77625
124,0.0598,94.5414,13.2709,2.6068,78.9253,0.77907
125,0.06005,94.2777,13.3209,2.3642,79.2302,0.78178
126,0.06035,94.2158,13.3711,2.5262,79.5368,0.78445
127,0.06055,94.2397,13.4216,2.5361,79.8445,0.78706
128,0.0607,94.7042,13.4722,2.5521,80.1536,0.78959
129,0.0609,94.4348,13.523,2.5178,80.4635,0.79211
130,0.0611,94.297,13.5737,2.5168,80.7734,0.79466
131,0.06125,94.2439,13.6245,2.5978,81.0834,0.7972
132,0.0613,94.1273,13.6752,2.4784,81.3937,0.79974
133,0.0614,94.5204,13.7258,2.5003,81.7031,0.80237
134,0.06145,94.4512,13.7761,2.5544,82.0107,0.8051
135,0.06155,94.3457,13.8261,2.5815,82.3165,0.80792
136,0.06165,94.3285,13.8758,2.4552,82.6208,0.81083
137,0.0617,94.4609,13.9252,2.5845,82.9233,0.81383
138,0.06165,94.42,13.9743,2.5889,83.224,0.81691
139,0.06155,94.467,14.0229,2.584,83.522,0.82013
140,0.0614,94.036,14.0709,2.5841,83.816,0.82354
141,0.0612,94.0941,14.118,2.571,84.1049,0.8272
142,0.061,94.4104,14.1642,2.7033,84.3879,0.83114
143,0.0609,94.391,14.2092,2.7143,84.6645,0.83539
144,0.06085,94.3875,14.2533,2.5701,84.9351,0.8399
145,0.06075,94.2155,14.2966,2.6502,85.2009,0.8446
146,0.0606,94.231,14.3391,2.6456,85.4623,0.84947
147,0.06055,94.129,14.3809,2.6894,85.7186,0.85454
148,0.06045,94.1752,14.4218,2.6399,85.9701,0.85979
149,0.0604,94.4151,14.462,2.6239,86.2173,0.86518
150,0.0603,94.2271,14.5015,2.6601,86.4603,0.87071
151,0.06025,94.213,14.5403,2.581,86.6991,0.87638
152,0.06025,94.2365,14.5784,2.6556,86.9338,0.88216
153,0.0603,93.8726,14.6159,2.5645,87.165,0.88803
154,0.0604,94.5028,14.653,2.7673,87.3937,0.8939
155,0.0604,94.0475,14.6899,2.6567,87.6208,0.89973
156,0.0604,94.5006,14.7265,2.7339,87.8463,0.90553
157,0.06045,94.122,14.7626,2.8126,88.0693,0.91134
158,0.0606,94.2284,14.7985,2.6488,88.2904,0.91713
159,0.06075,94.0214,14.8341,2.6855,88.5104,0.92285
160,0.06095,94.3711,14.8697,2.6754,88.7303,0.92844
161,0.0611,94.0964,14.9054,2.6973,88.9508,0.93385
162,0.06125,94.0656,14.9412,2.7792,89.1719,0.9391
163,0.06135,94.1467,14.9771,2.6122,89.3934,0.9442
164,0.06145,94.2292,15.0129,2.7981,89.6149,0.94919
165,0.06155,93.8488,15.0486,2.7798,89.836,0.9541
166,0.06165,93.7819,15.0843,2.7532,90.0564,0.95894
167,0.0617,94.1268,15.1198,2.7848,90.2762,0.96372
168,0.06185,94.0439,15.1551,2.7311,90.495,0.96846
169,0.06195,93.6801,15.1903,2.8383,90.7131,0.97314
170,0.06215,94.1354,15.2255,2.7697,90.9308,0.97774
171,0.06235,93.852,15.2606,2.7328,91.1488,0.98223
172,0.0626,94.0238,15.2959,2.7507,91.3676,0.98656
173,0.06275,94.1236,15.3315,2.8643,91.5881,0.99069
174,0.0629,94.068,15.3672,2.7873,91.8097,0.99466
175,0.06315,93.7781,15.403,2.7748,92.0321,0.99851
176,0.0634,93.8676,15.439,2.8229,92.2555,1.0022
177,0.0637,94.013,15.4753,2.7938,92.4808,1.0057
178,0.06395,94.0449,15.5119,2.8267,92.7085,1.0091
179,0.06415,93.9135,15.549,2.8005,92.9387,1.0122
180,0.06435,94.0586,15.5863,2.8461,93.1708,1.0151
181,0.0646,93.9376,15.6238,2.9021,93.4042,1.0179
182,0.06485,93.8495,15.6616,2.8013,93.6392,1.0206
183,0.06505,93.6149,15.6996,2.8715,93.876,1.0232
184,0.06525,93.7718,15.7379,2.8123,94.1145,1.0256
185,0.0654,93.834,15.7764,2.822,94.3542,1.028
186,0.06555,93.8706,15.815,2.8448,94.5947,1.0303
187,0.06565,93.6724,15.8536,2.8378,94.8354,1.0326
188,0.0657,93.6439,15.8922,2.8247,95.0759,1.035
189,0.06575,93.8434,15.9305,2.7805,95.3154,1.0374
190,0.0657,93.8657,15.9686,2.8068,95.5532,1.0399
191,0.0657,93.6452,16.0063,2.9096,95.7884,1.0426
192,0.0656,93.5097,16.0435,2.9706,96.0206,1.0454
193,0.06555,93.6317,16.0801,2.8126,96.2493,1.0485
194,0.06555,93.661,16.116,2.8632,96.474,1.0518
195,0.0655,93.729,16.1514,2.9445,96.6953,1.0553
196,0.0654,93.0502,16.1863,2.8968,96.9133,1.059
197,0.06525,93.8721,16.2205,2.9792,97.1274,1.0629
198,0.06505,93.3125,16.2539,2.8671,97.3367,1.0671
199,0.0649,93.4723,16.2864,2.8925,97.5404,1.0716
200,0.0648,93.3554,16.318,2.8154,97.7382,1.0764
201,0.0647,93.4917,16.3487,2.8657,97.9308,1.0816
202,0.06455,93.4005,16.3786,3.0019,98.1187,1.0869
203,0.0645,93.7027,16.4078,2.9529,98.3016,1.0925
204,0.06445,93.8821,16.4362,2.9105,98.48,1.0982
205,0.0645,93.4801,16.464,2.9614,98.6547,1.1041
206,0.0645,93.5129,16.4914,2.9093,98.8266,1.1101
207,0.06455,93.4137,16.5184,2.9831,98.9964,1.1161
208,0.0646,93.7402,16.5451,2.8463,99.1643,1.122
209,0.0646,93.4083,16.5716,3.0246,99.3308,1.1279
210,0.06465,93.5926,16.5978,2.9708,99.4957,1.1337
211,0.0646,93.4533,16.6237,3.0015,99.6589,1.1395
212,0.06465,93.5341,16.6493,2.9312,99.82,1.1453
213,0.06475,93.649,16.6746,2.8992,99.979,1.1511
214,0.0648,93.7051,16.6996,2.9008,100.137,1.1569
215,0.06485,93.3493,16.7245,2.8652,100.2941,1.1625
216,0.065,93.3888,16.7493,2.9931,100.4501,1.1681
217,0.0651,93.4327,16.774,2.8984,100.6058,1.1735
218,0.06525,93.427,16.7986,3.0632,100.7616,1.1788
219,0.0654,93.6449,16.8234,2.961,100.9178,1.1839
220,0.0655,93.4321,16.8482,3.0749,101.0747,1.1888
221,0.06565,93.3757,16.8731,2.9998,101.2321,1.1935
222,0.06585,93.1024,16.8981,2.9452,101.39,1.1981
223,0.066,93.4344,16.9233,3.017,101.549,1.2024
224,0.0662,93.5651,16.9486,3.1092,101.7093,1.2065
225,0.0663,93.6271,16.9742,2.9942,101.871,1.2104
226,0.06645,93.5854,16.9999,3.003,102.0337,1.2142
227,0.0666,93.3381,17.0256,3.0493,102.197,1.2178
228,0.06675,93.3007,17.0515,3.0589,102.361,1.2212
229,0.067,93.657,17.0775,3.0073,102.5258,1.2246
230,0.0673,92.9607,17.1038,3.0732,102.6921,1.2277
231,0.0677,93.601,17.1304,2.9979,102.8611,1.2306
232,0.068,93.3927,17.1577,3.0359,103.0343,1.2331
233,0.0682,93.1789,17.1857,3.1176,103.212,1.2351
234,0.06835,93.4205,17.2142,3.1096,103.393,1.237
235,0.06845,93.1729,17.243,3.1467,103.5757,1.2386
236,0.06845,93.5027,17.2718,3.0988,103.7591,1.2403
237,0.06855,93.5941,17.3006,3.1126,103.9416,1.242
238,0.06865,93.5718,17.3291,3.0303,104.1231,1.2438
239,0.06875,93.2415,17.3575,3.0992,104.3038,1.2457
240,0.06885,93.105,17.3858,3.1132,104.484,1.2476
241,0.0689,93.0956,17.4141,3.073,104.6638,1.2495
242,0.069,93.0524,17.4421,3.1801,104.8427,1.2515
243,0.0691,93.1113,17.4701,3.1747,105.0208,1.2535
244,0.06915,92.8301,17.498,3.0729,105.1984,1.2556
245,0.0693,93.2723,17.5257,3.0313,105.3751,1.2577
246,0.0695,93.2929,17.5533,3.0087,105.5514,1.2598
247,0.0697,93.1398,17.581,3.1153,105.7283,1.2619
248,0.06985,93.0115,17.6089,3.0589,105.9066,1.2638
249,0.06995,93.1465,17.637,3.0758,106.086,1.2656
250,0.06995,93.0254,17.6652,3.1909,106.2658,1.2674
251,0.0699,93.0672,17.6932,3.0695,106.4448,1.2692
252,0.06995,93.2171,17.7208,3.1469,106.6216,1.2712
253,0.0701,93.2171,17.7481,3.0943,106.7961,1.2734
254,0.07035,92.8782,17.7752,3.0614,106.9696,1.2756
255,0.07065,93.2508,17.8024,3.208,107.144,1.2777
256,0.071,92.9605,17.83,3.1954,107.3208,1.2796
257,0.07125,92.8368,17.8582,3.19,107.5013,1.2812
258,0.07155,92.5729,17.8869,3.1619,107.6853,1.2825
259,0.07185,92.7682,17.9161,3.1525,107.8726,1.2835
260,0.07215,92.9896,17.9458,3.1609,108.0634,1.2843
261,0.07245,92.8422,17.9761,3.2121,108.2576,1.2849
262,0.07265,92.6259,18.0069,3.1691,108.4553,1.2852
263,0.0728,93.1011,18.038,3.1288,108.6557,1.2855
264,0.07295,93.1943,18.0694,3.1304,108.8575,1.2856
265,0.073,92.8734,18.1009,3.2709,109.06,1.2858
266,0.073,92.9563,18.1324,3.1945,109.2621,1.2862
267,0.073,93.1215,18.1635,3.0947,109.4627,1.2867
268,0.0731,92.7963,18.1943,3.1659,109.6608,1.2874
269,0.07315,92.7549,18.2248,3.1803,109.8571,1.2884
270,0.07325,92.9778,18.255,3.2374,110.052,1.2895
271,0.0733,92.8455,18.285,3.2996,110.2455,1.2907
272,0.0733,92.7867,18.3149,3.2958,110.4378,1.2921
273,0.0732,92.7858,18.3444,3.2147,110.6282,1.2937
274,0.07305,92.8724,18.3734,3.208,110.8155,1.2955
275,0.07295,93.0415,18.4017,3.2561,110.9982,1.2977
276,0.07285,92.9376,18.4292,3.2721,111.176,1.3003
277,0.07285,93.0765,18.456,3.2592,111.3491,1.3032
278,0.0728,93.06,18.4821,3.2425,111.5183,1.3064
279,0.0728,92.8927,18.5077,3.1998,111.6841,1.3099
280,0.0728,92.7716,18.5328,3.1985,111.8467,1.3135
281,0.0728,92.7272,18.5575,3.2463,112.0067,1.3173
282,0.07285,92.9221,18.5818,3.2123,112.1642,1.3212
283,0.073,92.9985,18.6058,3.1904,112.3196,1.3252
284,0.07315,92.8967,18.6297,3.2721,112.4742,1.3292
285,0.0734,92.9085,18.6535,3.1678,112.6291,1.333
286,0.07365,92.6616,18.6776,3.2704,112.7852,1.3367
287,0.07395,92.6256,18.702,3.3274,112.9438,1.34
288,0.0742,92.3611,18.7269,3.2727,113.1054,1.343
289,0.07455,93.0168,18.7522,3.233,113.2702,1.3456
290,0.0749,92.5342,18.7781,3.2468,113.4387,1.3479
291,0.07535,92.7381,18.8047,3.2839,113.6117,1.3498
292,0.07575,92.8601,18.8321,3.2706,113.79,1.3512
293,0.0762,92.6308,18.8604,3.2337,113.9741,1.3521
294,0.0766,92.3175,18.8896,3.3473,114.1644,1.3526
295,0.07695,92.2475,18.9197,3.3627,114.3605,1.3526
296,0.0773,92.7517,18.9507,3.2954,114.562,1.3523
297,0.0776,92.3412,18.9822,3.3582,114.768,1.3518
298,0.0779,92.5289,19.0144,3.3045,114.978,1.351
299,0.07815,92.6164,19.0471,3.4116,115.1914,1.3501
300,0.07835,92.6616,19.0803,3.2641,115.4076,1.349
301,0.07855,92.474,19.1137,3.2655,115.6258,1.348
302,0.0788,92.4883,19.1473,3.3907,115.8453,1.347
303,0.07895,92.3896,19.1811,3.3869,116.0663,1.346
304,0.07905,92.3933,19.215,3.3508,116.2884,1.345
305,0.07905,92.2739,19.2489,3.4012,116.5104,1.3441
306,0.07905,92.2504,19.2826,3.4597,116.7311,1.3435
307,0.079,92.3079,19.3159,3.3285,116.9493,1.3431
308,0.0789,92.2548,19.3487,3.3144,117.1643,1.3431
309,0.0787,92.3433,19.3809,3.5092,117.3752,1.3435
310,0.07855,92.4262,19.4122,3.3435,117.5808,1.3444
311,0.0783,92.3375,19.4426,3.2382,117.7803,1.3457
312,0.07815,92.4941,19.472,3.4117,117.973,1.3477
313,0.07805,92.3023,19.5003,3.3227,118.1591,1.3501
314,0.078,92.5674,19.5277,3.375,118.3393,1.353
315,0.0779,92.1719,19.5544,3.351,118.5148,1.3563
316,0.07785,92.3706,19.5804,3.3822,118.6858,1.3598
317,0.0778,92.1164,19.6057,3.4523,118.8526,1.3637
318,0.07775,92.2093,19.6304,3.444,119.0156,1.3677
319,0.07765,92.18,19.6546,3.3763,119.175,1.372
320,0.07765,92.4268,19.6782,3.3421,119.3304,1.3765
321,0.07765,92.2886,19.7012,3.5438,119.4821,1.3812
322,0.07755,92.2063,19.7237,3.4387,119.631,1.386
323,0.07755,92.3584,19.7458,3.334,119.7765,1.391
324,0.0776,92.3335,19.7673,3.4618,119.9188,1.3961
325,0.0777,92.2706,19.7884,3.4355,120.0586,1.4013
326,0.0778,92.1231,19.8094,3.4182,120.1972,1.4065
327,0.07785,92.447,19.8302,3.4694,120.3352,1.4115
328,0.07795,92.3507,19.851,3.4039,120.4726,1.4165
329,0.0781,92.4293,19.8716,3.4314,120.6093,1.4214
330,0.07815,92.543,19.8922,3.3486,120.7461,1.4261
331,0.07825,92.0936,19.9128,3.4567,120.8828,1.4307
332,0.07825,92.3477,19.9334,3.4426,121.019,1.4352
333,0.0782,92.0886,19.9537,3.2973,121.1542,1.4397
334,0.0782,92.2493,19.9738,3.3044,121.2871,1.4442
335,0.078275,92.3152,19.9934,3.5044,121.4174,1.4489
336,0.07825,92.0516,20.0127,3.4171,121.5458,1.4537
337,0.078175,92.0672,20.0317,3.456,121.6724,1.4585
338,0.0781,92.3366,20.0503,3.3992,121.7962,1.4634
339,0.078125,92.315,20.0684,3.4643,121.9164,1.4685
340,0.0781,92.4572,20.086,3.4141,122.0335,1.4738
341,0.078075,91.98,20.1032,3.5654,122.1482,1.4791
342,0.07815,92.3993,20.12,3.523,122.2602,1.4846
343,0.078175,92.3828,20.1365,3.352,122.3703,1.49
344,0.0782,92.5483,20.1528,3.5716,122.4791,1.4955
345,0.078275,92.2877,20.1688,3.477,122.5863,1.5009
346,0.07835,92.3202,20.1847,3.5074,122.6925,1.5062
347,0.078475,92.2845,20.2005,3.552,122.7979,1.5114
348,0.07865,92.1115,20.2162,3.518,122.9033,1.5165
349,0.078825,92.3401,20.2321,3.5645,123.0094,1.5213
350,0.07905,91.9922,20.2482,3.4471,123.1171,1.5258
351,0.079325,92.0817,20.2646,3.4328,123.2269,1.53
352,0.07965,92.2251,20.2814,3.5237,123.3398,1.5337
353,0.0479,96.2304,6.7936,1.5148,39.8364,0.065901
354,0.0481,96.0389,6.8707,1.5039,40.2942,0.077896
355,0.0482,96.0984,6.9472,1.5188,40.7491,0.089581
356,0.04825,95.9534,7.0235,1.4733,41.203,0.10095
357,0.0482,96.1044,7.0996,1.4322,41.6551,0.11206
358,0.0481,95.9631,7.1747,1.5345,42.1023,0.12292
359,0.04795,95.8924,7.2491,1.6013,42.5445,0.13353
360,0.0478,95.7167,7.3229,1.5681,42.9837,0.14394
361,0.0477,95.7796,7.3957,1.6082,43.4173,0.15423
362,0.0476,96.2978,7.4673,1.5847,43.8436,0.16438
363,0.04755,96.3466,7.538,1.6343,44.2648,0.17434
364,0.04755,95.7526,7.6081,1.6852,44.6821,0.18417
365,0.0476,95.9117,7.6773,1.5501,45.0945,0.19384
366,0.04775,95.9228,7.746,1.5564,45.5038,0.20334
367,0.0479,95.8037,7.8145,1.5718,45.9124,0.21268
368,0.048,96.2121,7.8826,1.711,46.3183,0.22184
369,0.0481,95.9574,7.9501,1.7037,46.7211,0.2308
370,0.04825,95.709,8.0176,1.6227,47.1239,0.23956
371,0.04845,95.5693,8.0851,1.6988,47.5266,0.24816
372,0.0486,95.8018,8.1522,1.6092,47.9269,0.25662
373,0.04875,95.7682,8.2191,1.6872,48.3265,0.26488
374,0.0489,95.4737,8.2862,1.8342,48.727,0.27299
375,0.0491,95.8382,8.3529,1.7042,49.1256,0.28099
376,0.0494,95.7041,8.4193,1.7648,49.522,0.28883
377,0.04975,95.9012,8.4859,1.7571,49.9202,0.29646
378,0.0501,95.5796,8.5531,1.7309,50.3217,0.30394
379,0.0505,95.6982,8.6203,1.6895,50.7232,0.31125
380,0.05095,95.4488,8.6875,1.6502,51.1255,0.31831
381,0.0513,95.5244,8.7557,1.7514,51.5334,0.3251
382,0.05165,95.7135,8.8246,1.7363,51.9454,0.33172
383,0.05195,95.7248,8.8935,1.7226,52.3581,0.33817
384,0.05215,95.4389,8.963,1.8454,52.7737,0.34443
385,0.05225,95.8641,9.0328,1.7677,53.1921,0.35061
386,0.05225,95.368,9.1022,1.837,53.6078,0.35676
387,0.0523,95.6076,9.1709,1.859,54.0195,0.36284
388,0.0524,95.3882,9.2395,1.826,54.4305,0.36887
389,0.05255,95.2658,9.3078,1.877,54.8398,0.37493
390,0.0527,95.6581,9.3754,1.9621,55.2453,0.38095
391,0.0528,95.3416,9.4429,1.7857,55.6502,0.3869
392,0.0529,95.2158,9.5104,1.8462,56.0554,0.39284
393,0.05305,95.2244,9.5774,1.8603,56.4571,0.39879
394,0.0532,95.3006,9.6437,1.8126,56.8555,0.40466
395,0.05335,95.2071,9.7102,1.9104,57.2545,0.41045
396,0.05345,95.2004,9.7766,1.9687,57.6535,0.41622
397,0.0536,95.147,9.8424,2.0631,58.0489,0.42197
398,0.0537,94.9733,9.908,2.0237,58.4431,0.42764
399,0.05385,95.122,9.9736,2.0183,58.8379,0.43328
400,0.0539,94.8299,10.0389,1.8953,59.2302,0.43894
401,0.054,95.0728,10.1035,2.0148,59.6189,0.44456
402,0.05405,95.0917,10.168,2.0495,60.0072,0.45013
403,0.05405,95.1222,10.2323,1.9772,60.3943,0.45573
404,0.05415,95.2261,10.2958,2.0388,60.7763,0.46138
405,0.05435,94.818,10.3587,1.9136,61.1554,0.46698
406,0.0546,94.7812,10.4217,2.067,61.5351,0.47253
407,0.0548,95.36,10.4846,1.9158,61.9142,0.47804
408,0.055,95.4673,10.5473,1.9378,62.2918,0.48346
409,0.05515,95.1002,10.6101,2.0033,62.6709,0.48876
410,0.0553,94.8013,10.6731,2.0449,63.051,0.49405
411,0.0554,95.0032,10.7356,2.1856,63.4281,0.49934
412,0.05545,94.9064,10.7978,2.1188,63.8031,0.50454
413,0.05545,94.4604,10.8599,2.0688,64.1784,0.50971
414,0.0555,94.8463,10.9216,2.1421,64.5507,0.51496
415,0.05555,94.8001,10.9824,2.1023,64.9184,0.52024
416,0.0556,94.8802,11.0431,2.0672,65.2848,0.52549
417,0.0556,94.796,11.1035,2.0901,65.65,0.53082
418,0.0557,94.1261,11.163,2.1118,66.0101,0.53624
419,0.0557,94.545,11.2219,2.164,66.3665,0.54161
420,0.05575,94.4577,11.2808,2.1559,66.7223,0.54696
421,0.0558,94.5706,11.3391,2.1777,67.0753,0.55238
422,0.05595,94.3606,11.3967,2.1954,67.4242,0.5578
423,0.05615,94.624,11.4542,2.0361,67.7726,0.56317
424,0.0563,94.4772,11.5118,2.2326,68.1216,0.56853
425,0.0564,94.7444,11.569,2.1756,68.4681,0.57388
426,0.0565,94.4835,11.6259,2.2109,68.8126,0.57914
427,0.05655,94.6934,11.6828,2.2667,69.1578,0.58433
428,0.05665,94.316,11.7393,2.236,69.501,0.58957
429,0.05675,94.2076,11.7953,2.2109,69.8406,0.5948
430,0.0569,94.3508,11.8512,2.3355,70.18,0.59996
431,0.0571,94.6297,11.9071,2.282,70.5192,0.60516
432,0.0574,94.7168,11.9625,2.2101,70.8559,0.61032
433,0.0577,94.3624,12.018,2.2737,71.1929,0.61531
434,0.05795,94.7298,12.074,2.244,71.5334,0.62015
435,0.0582,94.399,12.1302,2.4306,71.8751,0.62491
436,0.0584,94.4247,12.1864,2.223,72.2165,0.62953
437,0.05855,94.3155,12.2428,2.3778,72.56,0.63402
438,0.0586,94.2487,12.2994,2.2463,72.9045,0.63851
439,0.0587,94.3951,12.3555,2.253,73.2457,0.64303
440,0.0588,94.4344,12.4113,2.2715,73.5853,0.6475
441,0.05895,94.2714,12.467,2.2503,73.9249,0.65198
442,0.05905,93.8026,12.5224,2.3399,74.2626,0.6565
